Tag Name,Location Uuid,Movement Type,Date,Event Number
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 13:44:52,1
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 11:38:53,2
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 11:38:35,3
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 11:38:31,4
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 09:20:59,5
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 09:20:41,6
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 09:08:24,7
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 09:04:29,8
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 09:04:25,9
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 09:04:25,10
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-14 09:04:20,11
Tag 1,OnWHibLESTm_zXe121hChw,ARRIVAL,2021-07-14 09:04:12,12
Tag 1,OnWHibLESTm_zXe121hChw,DEPARTURE,2021-07-13 15:31:34,13
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 15:31:32,14
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 15:31:22,15
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 15:30:30,16
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 15:29:39,17
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 15:29:35,18
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 14:57:32,19
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 14:21:29,20
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 11:57:59,21
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 11:57:47,22
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 11:02:25,23
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:26:15,24
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:26:15,25
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:24:54,26
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:14:38,27
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:14:37,28
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:12:24,29
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:12:03,30
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:11:21,31
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:03:24,32
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:03:05,33
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:02:49,34
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-13 08:02:47,35
Tag 1,OnWHibLESTm_zXe121hChw,ARRIVAL,2021-07-13 08:02:35,36
Tag 1,OnWHibLESTm_zXe121hChw,DEPARTURE,2021-07-12 16:32:18,37
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 16:30:58,38
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 16:30:47,39
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 16:30:45,40
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 16:30:43,41
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 16:30:24,42
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 16:27:25,43
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 16:27:21,44
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 16:01:37,45
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 11:52:54,46
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:27:09,47
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:27:07,48
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:09:19,49
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:09:17,50
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:08:38,51
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 09:02:11,52
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 08:59:21,53
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 08:59:17,54
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-12 08:58:20,55
Tag 1,OnWHibLESTm_zXe121hChw,ARRIVAL,2021-07-12 08:58:13,56
Tag 1,OnWHibLESTm_zXe121hChw,DEPARTURE,2021-07-08 16:35:07,57
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 13:18:43,58
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 10:52:19,59
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 10:34:33,60
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 10:11:29,61
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 10:11:14,62
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:08:59,63
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:08:41,64
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:08:37,65
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:08:31,66
Tag 1,OnWHibLESTm_zXe121hChw,MOVED_SIGNIFICANTLY,2021-07-08 09:08:26,67
